Antecedente;Consequente;Suporte;Confiança;Lift;Rule Interest;Convicção;Score
CREME_DE_LEITE_NESTLE,MAIONESE_HELLMANN_S;BISCNESTLE;0,0103;0,5114;4,0558;0,0078;1,7886;0,3853;7,8115;4,2320;
BISCNESTLE,MAIONESE_HELLMANN_S;CREME_DE_LEITE_NESTLE;0,0103;0,4389;6,0860;0,0086;1,6538;0,3668;11,5786;4,5705;
BISCNESTLE,CREME_DE_LEITE_NESTLE;MAIONESE_HELLMANN_S;0,0103;0,4038;6,4030;0,0087;1,5716;0,3408;11,8359;4,4742;
LEITE_MOCA;FERMROYAL;0,0163;0,1627;5,1515;0,0131;1,1566;0,1311;11,2513;3,2315;
FERMROYAL;LEITE_MOCA;0,0163;0,5163;5,1515;0,0131;1,8603;0,4161;11,2513;4,9629;
BOMBRIL,LEITE_MOCA;BISCNESTLE;0,0135;0,5132;4,0699;0,0102;1,7951;0,3871;8,0643;4,3724;
BISCNESTLE,LEITE_MOCA;BOMBRIL;0,0135;0,3693;5,8685;0,0112;1,4857;0,3064;10,8348;4,2560;
BISCNESTLE,BOMBRIL;LEITE_MOCA;0,0135;0,5931;5,9175;0,0112;2,2113;0,4929;14,9726;5,6782;
LEITE_MOCA;BISCMARILAN;0,0131;0,1306;3,1722;0,0090;1,1028;0,0894;4,6630;2,1707;
BISCMARILAN;LEITE_MOCA;0,0131;0,3179;3,1722;0,0090;1,3192;0,2177;4,6630;2,9697;
MAIONESE_HELLMANN_S,PAPEL_HIGPERSONAL;LEITE_MOCA;0,0100;0,6127;6,1134;0,0084;2,3234;0,5125;15,6711;5,7457;
LEITE_MOCA,PAPEL_HIGPERSONAL;MAIONESE_HELLMANN_S;0,0100;0,3856;6,1140;0,0084;1,5250;0,3225;10,8965;4,2599;
LEITE_MOCA,MAIONESE_HELLMANN_S;PAPEL_HIGPERSONAL;0,0100;0,3678;4,4157;0,0078;1,4501;0,2845;7,1422;3,5801;
FEIJAO_BROTO_LEGAL;COCA_COLA;0,0193;0,4323;2,2268;0,0106;1,4195;0,2381;3,3990;3,1470;
COCA_COLA;FEIJAO_BROTO_LEGAL;0,0193;0,0993;2,2268;0,0106;1,0607;0,0547;3,3990;1,8461;
VEJA_MUSO;PAPEL_HIGPERSONAL;0,0109;0,2924;3,5102;0,0078;1,2955;0,2091;5,0788;2,9100;
PAPEL_HIGPERSONAL;VEJA_MUSO;0,0109;0,1303;3,5102;0,0078;1,1071;0,0932;5,0788;2,2061;
COCA_COLA;AMACCOMFORT;0,0137;0,0704;2,2606;0,0076;1,0422;0,0393;3,4165;1,6050;
AMACCOMFORT;COCA_COLA;0,0137;0,4388;2,2606;0,0076;1,4361;0,2447;3,4165;3,0490;
OLEO_SOJA_LIZA;BOMBRIL;0,0139;0,3098;4,9237;0,0111;1,3577;0,2469;8,2932;3,6319;
BOMBRIL;OLEO_SOJA_LIZA;0,0139;0,2205;4,9237;0,0111;1,2254;0,1757;8,2932;3,2147;
IOGMOLICO;COCA_COLA;0,0117;0,3490;1,7980;0,0052;1,2380;0,1549;2,3042;2,3056;
COCA_COLA;IOGMOLICO;0,0117;0,0601;1,7980;0,0052;1,0284;0,0267;2,3042;1,2931;
LEITE_PARMALAT;CHOCLACTA;0,0105;0,1482;2,6121;0,0065;1,1074;0,0915;3,3211;1,9307;
CHOCLACTA;LEITE_PARMALAT;0,0105;0,1846;2,6121;0,0065;1,1397;0,1139;3,3211;2,0757;
LEITE_MOCA;DETERGYPE;0,0234;0,2330;3,7001;0,0170;1,2217;0,1700;6,5958;3,2035;
DETERGYPE;LEITE_MOCA;0,0234;0,3709;3,7001;0,0170;1,4302;0,2706;6,5958;3,8262;
SPO_OMO;ATUM_COQUEIRO;0,0111;0,1572;4,4449;0,0086;1,1445;0,1218;6,9538;2,6483;
ATUM_COQUEIRO;SPO_OMO;0,0111;0,3135;4,4449;0,0086;1,3539;0,2430;6,9538;3,3610;
COCA_COLA,PAPEL_HIGPERSONAL;BOMBRIL;0,0101;0,3266;5,1903;0,0081;1,3916;0,2637;8,4117;3,6397;
BOMBRIL,PAPEL_HIGPERSONAL;COCA_COLA;0,0101;0,5315;2,7378;0,0064;1,7200;0,3373;4,9124;3,6863;
BOMBRIL,COCA_COLA;PAPEL_HIGPERSONAL;0,0101;0,3603;4,3256;0,0078;1,4331;0,2770;6,9157;3,5121;
SPO_OMO;BISCNABISCO;0,0135;0,1918;3,3132;0,0094;1,1657;0,1339;4,7349;2,4875;
BISCNABISCO;SPO_OMO;0,0135;0,2337;3,3132;0,0094;1,2129;0,1631;4,7349;2,6669;
MACRENATA;DETERGLIMPOL;0,0132;0,2083;3,8000;0,0098;1,1938;0,1535;5,6633;2,7298;
DETERGLIMPOL;MACRENATA;0,0132;0,2416;3,8000;0,0098;1,2347;0,1780;5,6633;2,8772;
ACUCAR_UNIAO;ABSSLIVRE;0,0122;0,1314;3,3123;0,0085;1,1056;0,0917;4,8485;2,1938;
ABSSLIVRE;ACUCAR_UNIAO;0,0122;0,3083;3,3123;0,0085;1,3111;0,2152;4,8485;2,9543;
FERMROYAL;BISCNESTLE;0,0117;0,3701;2,9353;0,0077;1,3874;0,2440;4,3863;3,0559;
BISCNESTLE;FERMROYAL;0,0117;0,0927;2,9353;0,0077;1,0674;0,0611;4,3863;1,8903;
